year,month,value
2017,January,4.918032786885246
2017,February,6.156704361873991
2017,March,4.4071018651362985
2017,April,2.6560435289545277
2017,May,1.8648466464442197
2017,June,1.5696969696969696
2017,July,1.1346031746031746
2017,August,1.1349536296770066
2017,September,1.8717210492642355
2017,October,2.8043152532214566
2017,November,4.97239263803681
2017,December,5.129066107030431
2018,January,5.625912408759124
2018,February,5.690652104079666
2018,March,3.096723253059613
2018,April,2.5157159487776486
2018,May,1.130402104472003
2018,June,1.778316591617596
2018,July,1.2399193548387097
2018,August,1.2943071965628357
2018,September,2.5874788494077836
2018,October,2.4611618798955615
2018,November,3.904007455731594
2018,December,4.7501508750754375
2019,January,3.9664825046040515
2019,February,5.7229876722262505
2019,March,2.3075291622481444
2019,April,2.1843509187907526
2019,May,1.448798328108673
2019,June,1.3518896833503575
2019,July,1.5764299802761341
2019,August,1.401980198019802
2019,September,2.4818271119842827
2019,October,2.568636796949476
2019,November,2.908745247148289
2019,December,5.268510258697591
2020,January,6.232192414431083
2020,February,3.958090803259604
2020,March,2.7526158445440956
2020,April,1.6080550098231827
2020,May,1.7538819875776397
2020,June,1.9420772303595206
2020,July,1.5143500281373101
2020,August,1.5146131805157592
2020,September,1.7374036751630113
2020,October,2.9838546922300706
2020,November,4.307903402854007
2020,December,4.836180904522613
2021,January,4.019332161687171
2021,February,4.540952380952381
2021,March,2.270235818992989
2021,April,1.642443729903537
2021,May,1.4932680538555692
2021,June,1.379173740803622
2021,July,1.0739400206825234
2021,August,1.5
2021,September,2.257068062827225
2021,October,3.0716086737266766
2021,November,4.467583497053045
2021,December,6.109957527135442
